Token 接口测试报告,
（由 token_test.py 自动生成）,
,
被测接口 URL,https://net-relay-api.ucbj.net/v1/chat/completions
API Key,sk-B2AZaM4iTRiWayBn8...
模型名,deepseek-v4-pro
TPS (tokens/秒),73.7
TPM (tokens/分钟),4421.7
请求成功率,83.3%
生成 Token 总数,1453
平均延迟 (秒),192.692
压测并发数,4
压测总请求数,20
上下文验收门槛 (tokens),512000
实测输入 Token 估算,N/A
512k 上下文是否通过,否
上下文测试错误,分组 deepseek-novaStack 下模型 deepseek-v4-pro 的可用渠道不存在（retry） (request id: 202607091840325248200750mF0576a)
测试时间,2026-07-09 18:47:07
测试结论,1/6 未通过
,
编号,用例名称,测试类型,输入/条件,预期结果,实际结果,是否通过
TC-01,接口连通性,功能,有效 URL + Key 发起单次请求,HTTP 200 且返回 usage,"HTTP 200, 延迟 2.653s, Usage tokens: 42",通过
TC-02,TPS 压测,性能,并发=4 总请求=20,TPS/TPM 数值有效，成功率>0,"成功 20/20, TPS=73.7 tok/s, TPM=4421.7 tok/min, 平均延迟 3.509s",通过
TC-03,TPM 换算,性能,基于 TPS 窗口换算每分钟吞吐,TPM = TPS × 60,"TPS=73.7, TPM=4421.7, 公式验证: 通过",通过
TC-04,512k 上下文验收,容量,发送约 512000 tokens 长上下文,接口正常返回，未报上下文超限,"HTTP 500, 延迟 382.73s, 服务端错误 (HTTP 500): 分组 deepseek-novaStack 下模型 deepseek-v4-pro 的可用渠道不存在（retry） (request id: 202607091840325248200750mF0576a)",失败
TC-05,鉴权失败,异常,无效/缺失 Key,返回 401/403，用例标记为失败,"HTTP 401, 预期 401/403, 符合预期, 使用无效 Key 发起请求，预期被拒绝",通过
TC-06,限流/超时,异常,高频并发触发 429 或超时,记录错误且不影响整体失败统计,"OK=100, 429=0, 超时=0, 耗时 12.87s, 限流/超时被正确记录，不影响整体统计",通过
